"square","start","region"
7.3527,3267.51,"Полтавська область"
0.0699,74.97,"Черкаська область"
0.9438,3562.67,"Черкаська область"
4.176,11590.2,"Вінницька область"
22.2959,28413.26,"Чернігівська область"
12.4811,5810.73,"Кіровоградська область"
5.6294,8650,"Одеська область"
0.3,17744,"Рівненська область"
14.1538,5111.73,"Івано-Франківська область"
9.5057,63702.55,"Полтавська область"
2.2642,10499.2,"Донецька область"
0.2,49122.9,"Волинська область"
9.3024,21640,"Одеська область"
17,104305.98,"Кіровоградська область"
32.8275,21597.3,"Волинська область"
2.604,2644.51,"Волинська область"
10.5142,28139.66,"Львівська область"
40,52382.04,"Херсонська область"
20,50080.19,"Чернігівська область"
2.6501,12276.33,"Полтавська область"
76.3397,195636.56,"Кіровоградська область"
8.9283,15807.18,"Полтавська область"
3.7,1959.21,"Черкаська область"
2.6054,1913.64,"Львівська область"
19.9645,7263.86,"Херсонська область"
10.7815,30943.91,"Полтавська область"
10.3034,18110.2,"Харківська область"
0.1174,38.41,"Чернігівська область"
1.822,3865.67,"Херсонська область"
0.0045,171.35,"Полтавська область"
2.77,3590.57,"Тернопільська область"
6.8209,17701.49,"Донецька область"
43.0917,31682.02,"Полтавська область"
56.3511,23659.84,"Рівненська область"
8.276,22440.9,"Вінницька область"
29.0445,9050.71,"Херсонська область"
3.6489,12021.61,"Сумська область"
5.33,8406.03,"Волинська область"
54.6075,21184.05,"Сумська область"
10.2426,16750,"Одеська область"
3.9907,74541.74,"Черкаська область"
10.8977,19537.12,"Кіровоградська область"
4.1976,11077.83,"Харківська область"
1.6153,7873.12,"Вінницька область"
12.5615,2670.31,"Сумська область"
50.8724,50549.31,"Хмельницька область"
14.3855,5520,"Одеська область"
4.19,13326.38,"Полтавська область"
3.5601,4873.84,"Чернівецька область"
15.0002,42759.84,"Кіровоградська область"
5.8552,5094.09,"Сумська область"
0.0408,7959.18,"Херсонська область"
26.1097,41188.96,"Полтавська область"
0.3777,410.65,"Сумська область"
1.4314,952.83,"Тернопільська область"
15.0666,22486.14,"Житомирська область"
0.3963,48425.09,"Хмельницька область"
1.362,2505.04,"Рівненська область"
4.48,9480,"Одеська область"
7.3834,20680.1,"Харківська область"
0.15,16582.5,"Дніпропетровська область"
7.0476,14500,"Одеська область"
5.0937,1816.88,"Тернопільська область"
39.5606,4861.65,"Івано-Франківська"
8.6007,5927.96,"Черкаська область"
28.4778,3276.15,"Рівненська область"
0.6464,1559.5,"Чернівецька область"
5.6163,13440,"Одеська область"
1.9459,1907.69,"Тернопільська область"
0.158,50548.78,"Херсонська область"
4.314,904.2,"Чернігівська область"
1.8977,1488.35,"Херсонська область"
16,17354.62,"Сумська область"
8.5,12008.54,"Херсонська область"
18.2481,13527.86,"Херсонська область"
8.3346,8050,"Одеська область"
7.2,19060,"Одеська область"
7.7189,7285.56,"Черкаська область"
38.2759,80842.74,"Дніпропетровська область"
1.4151,7721.85,"Вінницька область"
71,82403.54,"Чернігівська область"
13.0113,26500,"Одеська область"
6.2681,7919.19,"Закарпатська область"
36.0372,23135.09,"Дніпропетровська область"
20.7617,33505.07,"Полтавська область"
9.9656,20470,"Одеська область"
10.2,4268.96,"Черкаська область"
0.8752,3801.65,"Сумська область"
308.55,91341.41,"Херсонська область"
20.6311,38111.77,"Запорізька область"
11.0637,2944.64,"Рівненська область"
0.5075,61251.7,"Дніпропетровська область"
14.3907,24244.35,"Херсонська область"
3.8737,2565.43,"Сумська область"
61.8864,33192.73,"Донецька область"
11,80464.33,"Львівська область"
11,7784.8,"Львівська область"
43.9,84931.08,"Миколаївська область"
5.2835,2825.96,"Дніпропетровська область"
0.0018,3838.1,"Львівська область"
6.7788,5617.04,"Дніпропетровська область"
28.581,12927.2,"Кіровоградська область"
11.2958,21410.96,"Миколаївська область"
12.1363,8604.24,"Херсонська область"
1.6004,3317.23,"Черкаська область"
8.2141,3760,"Одеська область"
2.98,8853.36,"Вінницька область"
6.298,1883.81,"Тернопільська область"
9.2067,6450,"Одеська область"
48.2338,127630,"Одеська область"
10.7279,7281.47,"Сумська область"
12.95,68761.94,"Кіровоградська область"
0.005,3797.21,"Черкаська область"
3.0426,4997.32,"Волинська область"
18,32400.72,"Тернопільська область"
3.217,9253.97,"Тернопільська область"
8.7473,2316.92,"Львівська область"
44.7546,52520.72,"Волинська область"
2.0166,564.32,"Львівська область"
5.8922,760968.08,"Чернігівська область"
4.0767,476.81,"Житомирська область"
2.3869,2539.81,"Львівська область"
2.8174,1273.98,"Тернопільська область"
43.3015,103860,"Одеська область"
7.5,10561.3,"Вінницька область"
1.5068,2615.51,"Львівська область"
0.04,6171.23,"Вінницька область"
13.5999,31398.94,"Черкаська область"
0.15,23389.57,"Хмельницька область"
10.0727,2496.16,"Рівненська область"
18.248,28720.08,"Львівська область"
21.9349,11499.56,"Чернігівська область"
20.2,8259.4,"Донецька область"
7.7516,9190.03,"Полтавська область"
24.4676,45968.08,"Вінницька область"
0.025,2384,"Вінницька область"
6.1819,15914.53,"Сумська область"
10.35,4004.3,"Черкаська область"
0.0027,1430.48,"Полтавська область"
18.9626,41387.81,"Запорізька область"
0.04,5368.85,"Полтавська область"
0.191,9279.74,"Черкаська область"
8,3184.13,"Донецька область"
4,7753.96,"Херсонська область"
4.68,6924,"Черкаська область"
6.3,17960,"Одеська область"
4.6464,1496.62,"Волинська область"
1.6178,293.84,"Львівська область"
8.056,45573.73,"Вінницька область"
0.5668,47473.34,"Івано-Франківська область"
16.3712,17627.85,"Чернівецька область"
0.6021,136.8,"Львівська область"
11.4839,6211.38,"Львівська область"
1.5939,1819.4,"Вінницька область"
0.9095,2318.55,"Харківська область"
0.04,7211.84,"Закарпатська область"
29.2563,28128.35,"Чернігівська область"
9.908,6379.1,"Чернівецька область"
5.5034,13866.64,"Чернівецька область"
0.1091,7419.27,"Сумська область"
37.51,46952.96,"Тернопільська область"
1.6046,544.17,"Черкаська область"
0.375,332,"Сумська область"
12.3764,22552.46,"Тернопільська область"
2.9,2479.73,"Луганська область"
1.2244,555.95,"Вінницька область"
1.9305,2348.5,"Рівненська область"
10.5,24038.69,"Хмельницька область"
28.5768,5542.35,"Херсонська область"
10.1723,14536.16,"Тернопільська область"
9.3996,8173.96,"Полтавська область"
1.4498,5239.45,"Черкаська область"
21.2836,38208.05,"Чернігівська область"
0.003,986.03,"Житомирська область"
1.2937,297.65,"Львівська область"
52.7245,73148.54,"Чернігівська область"
5.1527,1045.56,"Вінницька область"
0.078,100.29,"Львівська область"
2.1753,2944.2,"Полтавська область"
7.6003,12556.96,"Волинська область"
15,36198.32,"Запорізька область"
129.1819,261898.32,"Кіровоградська область"
21.9572,19421.95,"Рівненська область"
22,11878.51,"Волинська область"
16.6541,9550.49,"Львівська область"
11.412,6067.21,"Івано-Франківська область"
0.04,9348.75,"Львівська область"
4.9523,2084.23,"Рівненська область"
0.0757,10266.62,"Івано-Франківська область"
0.9186,385302.18,"Одеська область"
26.1616,37165.08,"Сумська область"
2.8411,768.68,"Львівська область"
14.0975,25389.03,"Черкаська область"
10.0723,27318.85,"Кіровоградська область"
9.4276,17747.24,"Львівська область"
0.3883,40156.7,"Івано-Франківська область"
1.2088,677174.2,"м.Київ"
8.5233,3792.86,"Сумська область"
13,25503.08,"Кіровоградська область"
24.9849,544470.94,"Кіровоградська область"
2.6896,36583.94,"Херсонська область"
13.3725,34430,"Одеська область"
20.2529,35890.4,"Волинська область"
47.0401,30106.4,"Донецька область"
34.6,14780.41,"Херсонська область"
5.8,1178.46,"Львівська область"
0.59,56569.2,"Львівська область"
150.1383,390684.01,"Чернігівська область"
0.11,5892.17,"Львівська область"
25.053,54310,"Одеська область"
7.579,5954.28,"Вінницька область"
6.6612,1218.23,"Львівська область"
26,2573.78,"Київська область"
45,50720,"Одеська область"
0.25,166128.75,"Полтавська область"
8.1842,17236.66,"Сумська область"
8.0259,9985.19,"Луганська область"
0.6372,58099.76,"Кіровоградська область"
